Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 5      | 1      | 25068.97 | 1.01    
50          | 1      | 0      | 19750.10 | 0.79    
50          | 2      | 0      | 19689.30 | 1.00    
50          | 3      | 0      | 20273.95 | 1.03    
50          | 4      | 0      | 21708.05 | 1.07    
50          | 5      | 0      | 23228.52 | 1.07    
50          | 1      | 0.01   | 21978.66 | 0.95    
50          | 2      | 0.01   | 24762.83 | 1.13    
50          | 3      | 0.01   | 27797.47 | 1.12    
50          | 4      | 0.01   | 26832.17 | 0.97    
50          | 5      | 0.01   | 25633.66 | 0.96    
50          | 1      | 0.1    | 21493.48 | 0.84    
50          | 2      | 0.1    | 23312.91 | 1.08    
50          | 3      | 0.1    | 25379.16 | 1.09    
50          | 4      | 0.1    | 25101.83 | 0.99    
50          | 5      | 0.1    | 24925.92 | 0.99    
50          | 1      | 1      | 21046.96 | 0.84    
50          | 2      | 1      | 22395.32 | 1.06    
50          | 3      | 1      | 24208.02 | 1.08    
50          | 4      | 1      | 24759.87 | 1.02    
50          | 5      | 1      | 25068.97 | 1.01    
100         | 1      | 0      | 19750.10 | 0.79    
100         | 2      | 0      | 19689.30 | 1.00    
100         | 3      | 0      | 20273.95 | 1.03    
100         | 4      | 0      | 21708.05 | 1.07    
100         | 5      | 0      | 23228.52 | 1.07    
100         | 1      | 0.01   | 21978.66 | 0.95    
100         | 2      | 0.01   | 24762.83 | 1.13    
100         | 3      | 0.01   | 27797.47 | 1.12    
100         | 4      | 0.01   | 26832.17 | 0.97    
100         | 5      | 0.01   | 25633.66 | 0.96    
100         | 1      | 0.1    | 21493.48 | 0.84    
100         | 2      | 0.1    | 23312.91 | 1.08    
100         | 3      | 0.1    | 25379.16 | 1.09    
100         | 4      | 0.1    | 25101.83 | 0.99    
100         | 5      | 0.1    | 24925.92 | 0.99    
100         | 1      | 1      | 21046.96 | 0.84    
